State,Update,Deaths,Confirmed
Berlin,2020-03-24,1.0,1220
Brandenburg,2020-03-03,0.0,1
Brandenburg,2020-03-04,0.0,1
Brandenburg,2020-03-05,0.0,1
Brandenburg,2020-03-06,0.0,2
Brandenburg,2020-03-07,0.0,2
Brandenburg,2020-03-08,0.0,4
Brandenburg,2020-03-09,0.0,6
Brandenburg,2020-03-10,0.0,9
Brandenburg,2020-03-11,0.0,24
Brandenburg,2020-03-12,0.0,30
Brandenburg,2020-03-13,0.0,44
Brandenburg,2020-03-14,0.0,61
Brandenburg,2020-03-15,0.0,84
Brandenburg,2020-03-16,0.0,94
Brandenburg,2020-03-17,0.0,73
Brandenburg,2020-03-18,0.0,92
Brandenburg,2020-03-19,0.0,134
Brandenburg,2020-03-20,0.0,192
Brandenburg,2020-03-21,0.0,254
Brandenburg,2020-03-22,0.0,274
Brandenburg,2020-03-23,0.0,288
Brandenburg,2020-03-24,0.0,343
Bremen,2020-03-01,0.0,1
Bremen,2020-03-02,0.0,1
Bremen,2020-03-03,0.0,2
Bremen,2020-03-04,0.0,3
Bremen,2020-03-05,0.0,3
Bremen,2020-03-06,0.0,4
Bremen,2020-03-07,0.0,4
Bremen,2020-03-08,0.0,4
Bremen,2020-03-09,0.0,4
Bremen,2020-03-10,0.0,4
Bremen,2020-03-11,0.0,21
Bremen,2020-03-12,0.0,38
Bremen,2020-03-13,0.0,42
Bremen,2020-03-14,0.0,50
Bremen,2020-03-15,0.0,53
Bremen,2020-03-16,0.0,56
Bremen,2020-03-17,0.0,57
Bremen,2020-03-18,0.0,69
Bremen,2020-03-19,0.0,80
Bremen,2020-03-20,0.0,121
Bremen,2020-03-21,0.0,142
Bremen,2020-03-22,0.0,165
Bremen,2020-03-23,0.0,170
Bremen,2020-03-24,0.0,183
Hamburg,2020-03-01,0.0,1
Hamburg,2020-03-02,0.0,1
Hamburg,2020-03-03,0.0,2
Hamburg,2020-03-04,0.0,3
Hamburg,2020-03-05,0.0,5
Hamburg,2020-03-06,0.0,11
Hamburg,2020-03-07,0.0,13
Hamburg,2020-03-08,0.0,13
Hamburg,2020-03-09,0.0,17
Hamburg,2020-03-10,0.0,29
Hamburg,2020-03-11,0.0,48
Hamburg,2020-03-12,0.0,88
Hamburg,2020-03-13,0.0,99
Hamburg,2020-03-14,0.0,158
Hamburg,2020-03-15,0.0,162
Hamburg,2020-03-16,0.0,260
Hamburg,2020-03-17,0.0,310
Hamburg,2020-03-18,0.0,358
Hamburg,2020-03-19,0.0,432
Hamburg,2020-03-20,0.0,586
Hamburg,2020-03-21,0.0,587
Hamburg,2020-03-22,0.0,872
Hamburg,2020-03-23,0.0,943
Hamburg,2020-03-24,0.0,1043
Hessen,2020-02-29,0.0,3
Hessen,2020-03-01,0.0,8
Hessen,2020-03-02,0.0,10
Hessen,2020-03-03,0.0,12
Hessen,2020-03-04,0.0,12
Hessen,2020-03-05,0.0,14
Hessen,2020-03-06,0.0,16
Hessen,2020-03-07,0.0,17
Hessen,2020-03-08,0.0,19
Hessen,2020-03-09,0.0,26
Hessen,2020-03-10,0.0,35
Hessen,2020-03-11,0.0,48
Hessen,2020-03-12,0.0,99
Hessen,2020-03-13,0.0,148
Hessen,2020-03-14,0.0,203
Hessen,2020-03-15,0.0,286
Hessen,2020-03-16,0.0,342
Hessen,2020-03-17,0.0,373
Hessen,2020-03-18,0.0,432
Hessen,2020-03-19,0.0,682
Hessen,2020-03-20,1.0,813
Hessen,2020-03-21,2.0,1080
Hessen,2020-03-22,2.0,1175
Hessen,2020-03-23,3.0,1347
Hessen,2020-03-24,4.0,1620
Mecklenburg-Vorpommern,2020-03-04,0.0,4
Mecklenburg-Vorpommern,2020-03-05,0.0,4
Mecklenburg-Vorpommern,2020-03-06,0.0,5
Mecklenburg-Vorpommern,2020-03-07,0.0,5
Mecklenburg-Vorpommern,2020-03-08,0.0,8
Mecklenburg-Vorpommern,2020-03-09,0.0,10
Mecklenburg-Vorpommern,2020-03-10,0.0,13
Mecklenburg-Vorpommern,2020-03-11,0.0,17
Mecklenburg-Vorpommern,2020-03-12,0.0,23
Mecklenburg-Vorpommern,2020-03-13,0.0,33
Mecklenburg-Vorpommern,2020-03-14,0.0,45
Mecklenburg-Vorpommern,2020-03-15,0.0,50
Mecklenburg-Vorpommern,2020-03-16,0.0,51
Mecklenburg-Vorpommern,2020-03-17,0.0,45
Mecklenburg-Vorpommern,2020-03-18,0.0,56
Mecklenburg-Vorpommern,2020-03-19,0.0,98
Mecklenburg-Vorpommern,2020-03-20,0.0,131
Mecklenburg-Vorpommern,2020-03-21,0.0,165
Mecklenburg-Vorpommern,2020-03-22,0.0,172
Mecklenburg-Vorpommern,2020-03-23,0.0,172
Mecklenburg-Vorpommern,2020-03-24,0.0,199
Niedersachsen,2020-03-01,0.0,1
Niedersachsen,2020-03-02,0.0,1
Niedersachsen,2020-03-03,0.0,2
Niedersachsen,2020-03-04,0.0,7
Niedersachsen,2020-03-05,0.0,18
Niedersachsen,2020-03-06,0.0,18
Niedersachsen,2020-03-07,0.0,19
Niedersachsen,2020-03-08,0.0,21
Niedersachsen,2020-03-09,0.0,38
Niedersachsen,2020-03-10,0.0,49
Niedersachsen,2020-03-11,0.0,75
Niedersachsen,2020-03-12,0.0,129
Niedersachsen,2020-03-13,0.0,230
Niedersachsen,2020-03-14,0.0,253
Niedersachsen,2020-03-15,0.0,287
Niedersachsen,2020-03-16,0.0,391
Niedersachsen,2020-03-17,0.0,325
Niedersachsen,2020-03-18,0.0,478
Niedersachsen,2020-03-19,0.0,669
Niedersachsen,2020-03-20,0.0,803
Niedersachsen,2020-03-21,0.0,1023
Niedersachsen,2020-03-22,1.0,1306
Niedersachsen,2020-03-23,4.0,1483
Niedersachsen,2020-03-24,6.0,1764
Nordrhein-Westfalen,2020-02-29,0.0,30
Nordrhein-Westfalen,2020-03-01,0.0,74
Nordrhein-Westfalen,2020-03-02,0.0,86
Nordrhein-Westfalen,2020-03-03,0.0,103
Nordrhein-Westfalen,2020-03-04,0.0,115
Nordrhein-Westfalen,2020-03-05,0.0,181
Nordrhein-Westfalen,2020-03-06,0.0,329
Nordrhein-Westfalen,2020-03-07,0.0,373
Nordrhein-Westfalen,2020-03-08,0.0,398
Nordrhein-Westfalen,2020-03-09,0.0,484
Nordrhein-Westfalen,2020-03-10,0.0,484
Nordrhein-Westfalen,2020-03-11,0.0,484
Nordrhein-Westfalen,2020-03-12,3.0,688
Nordrhein-Westfalen,2020-03-13,3.0,936
Nordrhein-Westfalen,2020-03-14,5.0,1154
Nordrhein-Westfalen,2020-03-15,5.0,1407
Nordrhein-Westfalen,2020-03-16,5.0,1541
Nordrhein-Westfalen,2020-03-17,6.0,2105
Nordrhein-Westfalen,2020-03-18,6.0,2372
Nordrhein-Westfalen,2020-03-19,6.0,3033
Nordrhein-Westfalen,2020-03-20,6.0,3497
Nordrhein-Westfalen,2020-03-21,6.0,3542
Nordrhein-Westfalen,2020-03-22,6.0,3545
Nordrhein-Westfalen,2020-03-23,28.0,5615
Nordrhein-Westfalen,2020-03-24,33.0,6318
Repatriierte,2020-02-29,0.0,2
Repatriierte,2020-03-01,0.0,2
Repatriierte,2020-03-02,0.0,2
Rheinland-Pfalz,2020-02-29,0.0,1
Rheinland-Pfalz,2020-03-01,0.0,2
Rheinland-Pfalz,2020-03-02,0.0,2
Rheinland-Pfalz,2020-03-03,0.0,2
Rheinland-Pfalz,2020-03-04,0.0,7
Rheinland-Pfalz,2020-03-05,0.0,8
Rheinland-Pfalz,2020-03-06,0.0,10
Rheinland-Pfalz,2020-03-07,0.0,13
Rheinland-Pfalz,2020-03-08,0.0,19
Rheinland-Pfalz,2020-03-09,0.0,17
Rheinland-Pfalz,2020-03-10,0.0,25
Rheinland-Pfalz,2020-03-11,0.0,25
Rheinland-Pfalz,2020-03-12,0.0,52
Rheinland-Pfalz,2020-03-13,0.0,102
Rheinland-Pfalz,2020-03-14,0.0,121
Rheinland-Pfalz,2020-03-15,0.0,168
Rheinland-Pfalz,2020-03-16,0.0,325
Rheinland-Pfalz,2020-03-17,0.0,442
Rheinland-Pfalz,2020-03-18,0.0,474
Rheinland-Pfalz,2020-03-19,0.0,637
Rheinland-Pfalz,2020-03-20,1.0,801
Rheinland-Pfalz,2020-03-21,1.0,938
Rheinland-Pfalz,2020-03-22,2.0,1053
Rheinland-Pfalz,2020-03-23,2.0,1177
Rheinland-Pfalz,2020-03-24,5.0,1370
Saarland,2020-03-04,0.0,1
Saarland,2020-03-05,0.0,1
Saarland,2020-03-06,0.0,2
Saarland,2020-03-07,0.0,3
Saarland,2020-03-08,0.0,4
Saarland,2020-03-09,0.0,6
Saarland,2020-03-10,0.0,7
Saarland,2020-03-11,0.0,14
Saarland,2020-03-12,0.0,14
Saarland,2020-03-13,0.0,40
Saarland,2020-03-14,0.0,40
Saarland,2020-03-15,0.0,32
Saarland,2020-03-16,0.0,85
Saarland,2020-03-17,0.0,75
Saarland,2020-03-18,0.0,88
Saarland,2020-03-19,0.0,99
Saarland,2020-03-20,0.0,146
Saarland,2020-03-21,0.0,187
Saarland,2020-03-22,0.0,187
Saarland,2020-03-23,0.0,200
Saarland,2020-03-24,1.0,337
Sachsen,2020-03-03,0.0,1
Sachsen,2020-03-04,0.0,1
Sachsen,2020-03-05,0.0,1
Sachsen,2020-03-06,0.0,2
Sachsen,2020-03-07,0.0,4
Sachsen,2020-03-08,0.0,7
Sachsen,2020-03-09,0.0,12
Sachsen,2020-03-10,0.0,22
Sachsen,2020-03-11,0.0,26
Sachsen,2020-03-12,0.0,45
Sachsen,2020-03-13,0.0,83
Sachsen,2020-03-14,0.0,93
Sachsen,2020-03-15,0.0,130
Sachsen,2020-03-16,0.0,140
Sachsen,2020-03-17,0.0,182
Sachsen,2020-03-18,0.0,198
Sachsen,2020-03-19,0.0,275
Sachsen,2020-03-20,0.0,394
Sachsen,2020-03-21,0.0,567
Sachsen,2020-03-22,0.0,606
Sachsen,2020-03-23,0.0,653
Sachsen,2020-03-24,1.0,811
Sachsen-Anhalt,2020-03-10,0.0,7
Sachsen-Anhalt,2020-03-11,0.0,15
Sachsen-Anhalt,2020-03-12,0.0,27
Sachsen-Anhalt,2020-03-13,0.0,42
Sachsen-Anhalt,2020-03-14,0.0,45
Sachsen-Anhalt,2020-03-15,0.0,47
Sachsen-Anhalt,2020-03-16,0.0,77
Sachsen-Anhalt,2020-03-17,0.0,58
Sachsen-Anhalt,2020-03-18,0.0,105
Sachsen-Anhalt,2020-03-19,0.0,140
Sachsen-Anhalt,2020-03-20,0.0,180
Sachsen-Anhalt,2020-03-21,0.0,188
Sachsen-Anhalt,2020-03-22,0.0,211
Sachsen-Anhalt,2020-03-23,0.0,212
Sachsen-Anhalt,2020-03-24,0.0,321
Schleswig-Holstein,2020-02-29,0.0,1
Schleswig-Holstein,2020-03-01,0.0,2
Schleswig-Holstein,2020-03-02,0.0,2
Schleswig-Holstein,2020-03-03,0.0,2
Schleswig-Holstein,2020-03-04,0.0,2
Schleswig-Holstein,2020-03-05,0.0,7
Schleswig-Holstein,2020-03-06,0.0,7
Schleswig-Holstein,2020-03-07,0.0,8
Schleswig-Holstein,2020-03-08,0.0,9
Schleswig-Holstein,2020-03-09,0.0,9
Schleswig-Holstein,2020-03-10,0.0,9
Schleswig-Holstein,2020-03-11,0.0,27
Schleswig-Holstein,2020-03-12,0.0,31
Schleswig-Holstein,2020-03-13,0.0,48
Schleswig-Holstein,2020-03-14,0.0,60
Schleswig-Holstein,2020-03-15,0.0,103
Schleswig-Holstein,2020-03-16,0.0,123
Schleswig-Holstein,2020-03-17,0.0,127
Schleswig-Holstein,2020-03-18,0.0,159
Schleswig-Holstein,2020-03-19,0.0,202
Schleswig-Holstein,2020-03-20,1.0,266
Schleswig-Holstein,2020-03-21,1.0,308
Schleswig-Holstein,2020-03-22,1.0,347
Schleswig-Holstein,2020-03-23,1.0,383
Schleswig-Holstein,2020-03-24,2.0,478
Thüringen,2020-03-03,0.0,1
Thüringen,2020-03-04,0.0,1
Thüringen,2020-03-05,0.0,1
Thüringen,2020-03-06,0.0,1
Thüringen,2020-03-07,0.0,2
Thüringen,2020-03-08,0.0,2
Thüringen,2020-03-09,0.0,2
Thüringen,2020-03-10,0.0,4
Thüringen,2020-03-11,0.0,10
Thüringen,2020-03-12,0.0,14
Thüringen,2020-03-13,0.0,29
Thüringen,2020-03-14,0.0,46
Thüringen,2020-03-15,0.0,51
Thüringen,2020-03-16,0.0,55
Thüringen,2020-03-17,0.0,55
Thüringen,2020-03-18,0.0,74
Thüringen,2020-03-19,0.0,98
Thüringen,2020-03-20,0.0,149
Thüringen,2020-03-21,0.0,187
Thüringen,2020-03-22,0.0,216
Thüringen,2020-03-23,0.0,249
Thüringen,2020-03-24,1.0,327
